Count,Unit Format 1,Carry Fee Percentage,SQ FT,Year,Carrying Charge,NCB Loan,2019 One Time SA,2022 SA #1,2022 SA #1 
200,S0432,0.002280044,768,2003,548,null,null,null,TBD
201,S0531,0.002280044,768,2003,559,null,null,null,TBD
202,S0532,0.002280044,768,2003,559,null,null,null,TBD
203,S0631,0.002280044,768,2003,567,null,null,null,TBD
204,S0632,0.002280044,768,2003,567,null,null,null,TBD
205,S0731,0.002280044,768,2003,570,null,null,null,TBD
206,S0732,0.002280044,768,2003,570,null,null,null,TBD
207,S0831,0.002280044,768,2003,571,null,null,null,TBD
208,S0832,0.002280044,768,2003,573,null,null,null,TBD
209,N0101,0.00208142,807,2003,492,null,null,null,TBD
210,N0112,0.00208142,807,2003,477,null,null,null,TBD
211,N0114,0.00208142,807,2003,477,null,null,null,TBD
212,N0125,0.00208142,807,2003,492,null,null,null,TBD
213,N0201,0.00208142,807,2003,495,null,null,null,TBD
214,N0212,0.00208142,807,2003,481,null,null,null,TBD
215,N0214,0.00208142,807,2003,481,null,null,null,TBD
216,N0225,0.00208142,807,2003,495,null,null,null,TBD
217,N0301,0.00208142,807,2003,498,null,null,null,TBD
218,N0312,0.00208142,807,2003,492,null,null,null,TBD
219,N0314,0.00208142,807,2003,492,null,null,null,TBD
220,N0325,0.00208142,807,2003,498,null,null,null,TBD
221,N0401,0.00208142,807,2003,507,null,null,null,TBD
222,N0412,0.00208142,807,2003,497,null,null,null,TBD
223,N0414,0.00208142,807,2003,497,null,null,null,TBD
224,N0425,0.00208142,807,2003,507,null,null,null,TBD
225,N0501,0.00208142,807,2003,510,null,null,null,TBD
226,N0512,0.00208142,807,2003,498,null,null,null,TBD
227,N0514,0.00208142,807,2003,498,null,null,null,TBD
228,N0525,0.00208142,807,2003,510,null,null,null,TBD
229,N0601,0.00208142,807,2003,518,null,null,null,TBD
230,N0612,0.00208142,807,2003,507,null,null,null,TBD
231,N0614,0.00208142,807,2003,507,null,null,null,TBD
232,N0625,0.00208142,807,2003,518,null,null,null,TBD
233,N0701,0.00208142,807,2003,520,null,null,null,TBD
234,N0712,0.00208142,807,2003,510,null,null,null,TBD
235,N0714,0.00208142,807,2003,510,null,null,null,TBD
236,N0725,0.00208142,807,2003,520,null,null,null,TBD
237,N0801,0.00208142,807,2003,525,null,null,null,TBD
238,N0812,0.00208142,807,2003,518,null,null,null,TBD
239,N0814,0.00208142,807,2003,518,null,null,null,TBD
240,N0825,0.00208142,807,2003,524,null,null,null,TBD
241,S0126,0.00208142,807,2003,492,null,null,null,TBD
242,S0137,0.00208142,807,2003,477,null,null,null,TBD
243,S0138,0.00208142,807,2003,477,null,null,null,TBD
244,S0149,0.00208142,807,2003,492,null,null,null,TBD
245,S0226,0.00208142,807,2003,496,null,null,null,TBD
246,S0237,0.00208142,807,2003,481,null,null,null,TBD
247,S0238,0.00208142,807,2003,481,null,null,null,TBD
248,S0249,0.00208142,807,2003,495,null,null,null,TBD
249,S0326,0.00208142,807,2003,495,null,null,null,TBD
250,S0337,0.00208142,807,2003,492,null,null,null,TBD
251,S0338,0.00208142,807,2003,492,null,null,null,TBD
252,S0349,0.00208142,807,2003,498,null,null,null,TBD
253,S0426,0.00208142,807,2003,507,null,null,null,TBD
254,S0437,0.00208142,807,2003,495,null,null,null,TBD
255,S0438,0.00208142,807,2003,495,null,null,null,TBD
256,S0449,0.00208142,807,2003,507,null,null,null,TBD
257,S0526,0.00208142,807,2003,510,null,null,null,TBD
258,S0537,0.00208142,807,2003,498,null,null,null,TBD
259,S0538,0.00208142,807,2003,498,null,null,null,TBD
260,S0549,0.00208142,807,2003,509,null,null,null,TBD
261,S0626,0.00208142,807,2003,518,null,null,null,TBD
262,S0637,0.00208142,807,2003,507,null,null,null,TBD
263,S0638,0.00208142,807,2003,507,null,null,null,TBD
264,S0649,0.00208142,807,2003,518,null,null,null,TBD
265,S0726,0.00208142,807,2003,520,null,null,null,TBD
266,S0737,0.00208142,807,2003,510,null,null,null,TBD
267,S0738,0.00208142,807,2003,510,null,null,null,TBD
268,S0749,0.00208142,807,2003,520,null,null,null,TBD
269,S0826,0.00208142,807,2003,525,null,null,null,TBD
270,S0837,0.00208142,807,2003,518,null,null,null,TBD
271,S0838,0.00208142,807,2003,518,null,null,null,TBD
272,S0849,0.00208142,807,2003,525,null,null,null,TBD
273,N0102,0.001129677,426,2003,261,null,null,null,TBD
274,N0105,0.001129677,426,2003,261,null,null,null,TBD
275,N0108,0.001129677,426,2003,244,null,null,null,TBD
276,N0111,0.001129677,426,2003,244,null,null,null,TBD
277,N0115,0.001129677,426,2003,244,null,null,null,TBD
278,N0124,0.001129677,426,2003,261,null,null,null,TBD
279,N0202,0.001129677,426,2003,267,null,null,null,TBD
280,N0205,0.001129677,426,2003,267,null,null,null,TBD
281,N0208,0.001129677,426,2003,254,null,null,null,TBD
282,N0211,0.001129677,426,2003,254,null,null,null,TBD
283,N0215,0.001129677,426,2003,254,null,null,null,TBD
284,N0224,0.001129677,426,2003,266,null,null,null,TBD
285,N0302,0.001129677,426,2003,269,null,null,null,TBD
286,N0305,0.001129677,426,2003,269,null,null,null,TBD
287,N0308,0.001129677,426,2003,261,null,null,null,TBD
288,N0311,0.001129677,426,2003,261,null,null,null,TBD
289,N0315,0.001129677,426,2003,254,null,null,null,TBD
290,N0324,0.001129677,426,2003,269,null,null,null,TBD
291,N0402,0.001129677,426,2003,275,null,null,null,TBD
292,N0405,0.001129677,426,2003,275,null,null,null,TBD
293,N0408,0.001129677,426,2003,259,null,null,null,TBD
294,N0411,0.001129677,426,2003,266,null,null,null,TBD
295,N0415,0.001129677,426,2003,266,null,null,null,TBD
296,N0424,0.001129677,426,2003,275,null,null,null,TBD
297,N0502,0.001129677,426,2003,285,null,null,null,TBD
298,N0505,0.001129677,426,2003,285,null,null,null,TBD
299,N0508,0.001129677,426,2003,269,null,null,null,TBD
300,N0511,0.001129677,426,2003,269,null,null,null,TBD
301,N0515,0.001129677,426,2003,269,null,null,null,TBD
302,N0524,0.001129677,426,2003,285,null,null,null,TBD
303,N0602,0.001129677,426,2003,289,null,null,null,TBD
304,N0605,0.001129677,426,2003,289,null,null,null,TBD
305,N0608,0.001129677,426,2003,275,null,null,null,TBD
306,N0611,0.001129677,426,2003,275,null,null,null,TBD
307,N0615,0.001129677,426,2003,275,null,null,null,TBD
308,N0624,0.001129677,426,2003,289,null,null,null,TBD
309,N0702,0.001129677,426,2003,293,null,null,null,TBD
310,N0705,0.001129677,426,2003,293,null,null,null,TBD
311,N0708,0.001129677,426,2003,285,null,null,null,TBD
312,N0711,0.001129677,426,2003,285,null,null,null,TBD
313,N0715,0.001129677,426,2003,285,null,null,null,TBD
314,N0724,0.001129677,426,2003,293,null,null,null,TBD
315,N0802,0.001129677,426,2003,295,null,null,null,TBD
316,N0805,0.001129677,426,2003,295,null,null,null,TBD
317,N0808,0.001129677,426,2003,289,null,null,null,TBD
318,N0811,0.001129677,426,2003,289,null,null,null,TBD
319,N0815,0.001129677,426,2003,289,null,null,null,TBD
320,N0824,0.001129677,426,2003,295,null,null,null,TBD
321,S0127,0.001129677,426,2003,261,null,null,null,TBD
322,S0130,0.001129677,426,2003,261,null,null,null,TBD
323,S0133,0.001129677,426,2003,244,null,null,null,TBD
324,S0136,0.001129677,426,2003,244,null,null,null,TBD
325,S0139,0.001129677,426,2003,244,null,null,null,TBD
326,S0142,0.001129677,426,2003,244,null,null,null,TBD
327,S0145,0.001129677,426,2003,261,null,null,null,TBD
328,S0148,0.001129677,426,2003,261,null,null,null,TBD
329,S0227,0.001129677,426,2003,266,null,null,null,TBD
330,S0230,0.001129677,426,2003,266,null,null,null,TBD
331,S0233,0.001129677,426,2003,254,null,null,null,TBD
332,S0236,0.001129677,426,2003,254,null,null,null,TBD
333,S0239,0.001129677,426,2003,238,null,null,null,TBD
334,S0242,0.001129677,426,2003,254,null,null,null,TBD
335,S0245,0.001129677,426,2003,266,null,null,null,TBD
336,S0248,0.001129677,426,2003,266,null,null,null,TBD
337,S0327,0.001129677,426,2003,269,null,null,null,TBD
338,S0330,0.001129677,426,2003,269,null,null,null,TBD
339,S0333,0.001129677,426,2003,261,null,null,null,TBD
340,S0336,0.001129677,426,2003,261,null,null,null,TBD
341,S0339,0.001129677,426,2003,261,null,null,null,TBD
342,S0342,0.001129677,426,2003,261,null,null,null,TBD
343,S0345,0.001129677,426,2003,269,null,null,null,TBD
344,S0348,0.001129677,426,2003,269,null,null,null,TBD
345,S0427,0.001129677,426,2003,275,null,null,null,TBD
346,S0430,0.001129677,426,2003,275,null,null,null,TBD
